SourceUrl,PropertyName,ObjectName,ObjectNickname,ObjectGuid,ObjectDescription,ContainerText,JsonPath
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","257c76","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.14.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","db4e61","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.15.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","95311a","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.16.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","b72873","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.17.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","747d3d","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.18.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","3ee4c7","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.19.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","271c7b","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.20.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","5bd321","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.21.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","04b3ef","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.3.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","4d2294","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.4.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","8270da","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.5.CustomDeck.1.BackURL"
