ImageId,RepositoryPath,Width,Height,Bytes,Sha256,IsKnownSourceSheet,KnownCropCount,PriorityScore
"legacy-image-0047","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2a09386f0ae85856.jpg",1522,1522,196301,"3cf16ea7bae17e656a72807e7425ec61cfd33e8b2960a42cf9f28a924c474528",True,1,1070
"legacy-image-0048","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2b628d8e1453f008.jpg",2048,2048,287463,"9306c1286d082ce27d3b6ba61f4b7d0f4512ef55648d8df1c4565423f089685f",True,1,1070
"legacy-image-0049","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2c21c96d3d0f6df4.png",2000,2000,926796,"3cd8b807b264b81c4a12c18108d5e6cd5474d765e86aeefd57cc78f6118074cc",True,1,1070
"legacy-image-0050","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2ddee426d5cd4e0a.png",1024,1024,372508,"bae1c3f0325e866069ec63497eeb104d431fa8564c9a15ad15eeb5abf20cf3ad",True,1,1070
"legacy-image-0052","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__313bf3911892eafb.jpg",2048,2048,322666,"76abc6cbc811734311d39ca7bab6748c9d57f0147b8773678bd6741eaced8b62",True,1,1070
"legacy-image-0053","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__31c8025202b87472.jpg",1024,1024,144785,"14eef94e219e80c574af7110ba2f36f14fc0e7462f01964b0c8a8c46c028e803",True,1,1070
"legacy-image-0055","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__38c73e26b7ef0f5c.png",2048,2048,3665245,"346a6d56dbaa923acab429c93fa3d405b5feb74cea36bd807bb2ccaa74e43af4",True,1,1070
"legacy-image-0056","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3948b5a8e50c3bd1.jpg",2048,2048,640912,"20a1ee8351af21d3da7016e3c5f7ce0cd19de5cf9c0627ea0848b506f59d920a",True,1,1070
"legacy-image-0057","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__397623d826256999.jpg",1525,1525,168732,"c47c0fd6863d493542f2268e30e0aa137caced8b36ba63e3cdf26f9a547e572b",True,1,1070
"legacy-image-0060","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3b663ec0ec08d3c1.jpg",2048,2048,733968,"d1192fd684977d623de764c669fbc1eddb307154f000fadf45854d80c6cd128c",True,1,1070
"legacy-image-0061","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3bf6a0f4e42179fc.jpg",1024,1024,138884,"2a364c6d8ec72b29e55f7a6283a0d4376c3300669e3d71ecf62fcd91891d8180",True,1,1070
"legacy-image-0062","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3c511d937f9cfc39.png",2048,2048,3666118,"ef60cdf65bdf6cc269ccd3a40be4106f555f867b453f67df5eaf42f80e108150",True,1,1070
"legacy-image-0063","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3ca5873ebdf5b343.png",1522,1522,765867,"3cae9b9fdf5c555a2c408ebaace2aa668b09df888bd917da047e00f371cd4d30",True,1,1070
"legacy-image-0064","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3d0e951020b2d514.png",1024,1024,785320,"b35601d8f91df4ad00560dc99b1fb9cfb71ad97d97c806665ea6716720e24cd8",True,1,1070
"legacy-image-0065","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3f53e0f9d8299340.jpg",1024,1024,145673,"edb8e5846efaab9a507475ce3a72d1f146cd2619b13fb0949269366fd5c957c3",True,1,1070
