Number,GUID,Nickname,JsonPath,MeshURL,ColliderURL,DiffuseURL,LuaCharacters,XmlCharacters,LuaStateCharacters,LuaFile,XmlFile,LuaStateFile,Buttons,ActionTerms,ManeuverTerms
1,"e8e6c0","Unassigned Dial","ObjectStates[2]/ContainedObjects[83]","https://raw.githubusercontent.com/JohnnyCheese/TTS_X-Wing2.0/master/assets/dial/dialmodel.obj","https://raw.githubusercontent.com/JohnnyCheese/TTS_X-Wing2.0/master/assets/dial/dialcollider.obj","https://raw.githubusercontent.com/JohnnyCheese/TTS_X-Wing2.0/master/assets/dial/skin/1/Empire.png",53258,65369,0,"01-unassigned-dial-e8e6c0.lua","01-unassigned-dial-e8e6c0.xml","","","barrel roll | boost | calculate | cloak | evade | focus | jam | lock | reinforce | target lock","bank | reverse | straight | turn"
2,"e8e6c0","Unassigned Dial","ObjectStates[156]/ContainedObjects[79]","https://raw.githubusercontent.com/JohnnyCheese/TTS_X-Wing2.0/master/assets/dial/dialmodel.obj","https://raw.githubusercontent.com/JohnnyCheese/TTS_X-Wing2.0/master/assets/dial/dialcollider.obj","https://raw.githubusercontent.com/JohnnyCheese/TTS_X-Wing2.0/master/assets/dial/skin/1/Empire.png",53990,65369,0,"02-unassigned-dial-e8e6c0.lua","02-unassigned-dial-e8e6c0.xml","","","barrel roll | boost | calculate | cloak | evade | focus | jam | lock | reinforce | target lock","bank | reverse | straight | turn"
