status,sheetId,entityId,targetId,displayName,sourceRepositoryPath,outputRepositoryPath,x,y,width,height,message
generated,"pilot-sheet-150","PILOT-94A1E988D420","lieutenantblount","Lieutenant Blount","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__e9974f4b5c04ff70.jpg","assets/generated/PilotBaseToken/rebelalliance/z95headhunter/lieutenantblount__pilot-94a1e988d420.png",24,33,450,504,
generated,"pilot-sheet-151","PILOT-39582D5DAD5C","palobgodalhi","Palob Godalhi","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__e9f1cb1cfdd09180.jpg","assets/generated/PilotBaseToken/scumandvillainy/hwk290/palobgodalhi__pilot-39582d5dad5c.png",25,35,450,505,
generated,"pilot-sheet-152","PILOT-0EEE1974B721","countessryad","Countess Ryad","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__ea547c1dff2119e2.png","assets/generated/PilotBaseToken/galacticempire/tiedefender/countessryad__pilot-0eee1974b721.png",25,35,448,504,
generated,"pilot-sheet-153","PILOT-018CB30BE480","obsidiansquadronpilot","Obsidian Squadron Pilot","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__eb28ba3b0e2c290d.png","assets/generated/PilotBaseToken/galacticempire/tiefighter/obsidiansquadronpilot__pilot-018cb30be480.png",32,42,456,510,
generated,"pilot-sheet-154","PILOT-FEEF6D0DA6D8","kylekatarn","Kyle Katarn","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__eced59873189ee96.jpg","assets/generated/PilotBaseToken/rebelalliance/hwk290/kylekatarn__pilot-feef6d0da6d8.png",25,35,450,505,
generated,"pilot-sheet-155","PILOT-6BE5FCD8CD1A","kadsolus","Kad Solus","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__eecd9a22a38e56f2.png","assets/generated/PilotBaseToken/scumandvillainy/protectoratestarfighter/kadsolus__pilot-6be5fcd8cd1a.png",30,31,212,244,
generated,"pilot-sheet-156","PILOT-9FF20AE8C7AB","cartelspacer","Cartel Spacer","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f070c97abcf335e3.jpg","assets/generated/PilotBaseToken/scumandvillainy/m3ainterceptor/cartelspacer__pilot-9ff20ae8c7ab.png",27,35,451,510,
generated,"pilot-sheet-157","PILOT-75CA1AC0B24B","binayrepirate","Binayre Pirate","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f2685b96e319f2dc.jpg","assets/generated/PilotBaseToken/scumandvillainy/z95headhunter/binayrepirate__pilot-75ca1ac0b24b.png",24,33,450,504,
generated,"pilot-sheet-158","PILOT-B618B90B5E10","trandoshanslaver","Trandoshan Slaver","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f4359359768a4bea.jpg","assets/generated/PilotBaseToken/scumandvillainy/yv666/trandoshanslaver__pilot-b618b90b5e10.png",41,37,927,966,
generated,"pilot-sheet-159","PILOT-80A485DC5242","captainkagi","Captain Kagi","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f47d513e7c69022d.jpg","assets/generated/PilotBaseToken/galacticempire/lambdaclassshuttle/captainkagi__pilot-80a485dc5242.png",41,37,927,966,
generated,"pilot-sheet-160","PILOT-E36B6ADA5CD4","majorvynder","Major Vynder","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f60079774097c6e1.jpg","assets/generated/PilotBaseToken/galacticempire/alphaclassstarwing/majorvynder__pilot-e36b6ada5cd4.png",23,31,452,512,
generated,"pilot-sheet-161","PILOT-CF7DB3C80A89","tennumb","Ten Numb","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f9d7b7f88a169996.jpg","assets/generated/PilotBaseToken/rebelalliance/bwing/tennumb__pilot-cf7db3c80a89.png",25,35,451,508,
generated,"pilot-sheet-162","PILOT-F4184700D1DA","janors","Jan Ors","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__fe2a679015d845c5.jpg","assets/generated/PilotBaseToken/rebelalliance/hwk290/janors__pilot-f4184700d1da.png",25,35,450,505,
generated,"pilot-sheet-163","PILOT-FC4E49F9AF99","hefftobber","Heff Tobber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__00212d35a60a2976.png","assets/generated/PilotBaseToken/rebelalliance/uwing/hefftobber__pilot-fc4e49f9af99.png",815,1142,430,477,
generated,"pilot-sheet-164","PILOT-23C52D18FCC8","fennrau","Fenn Rau","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__11a4cb00a7691e6a.png","assets/generated/PilotBaseToken/scumandvillainy/protectoratestarfighter/fennrau__pilot-23c52d18fcc8.png",30,31,212,244,
generated,"pilot-sheet-165","PILOT-C280AC2074B3","captainrex","Captain Rex","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__1248f3c878f1f0a5.png","assets/generated/PilotBaseToken/rebelalliance/tiefighter/captainrex__pilot-c280ac2074b3.png",32,42,456,510,
generated,"pilot-sheet-166","PILOT-40A82A73B01F","captainnym","Captain Nym","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__270c2482690a5731.png","assets/generated/PilotBaseToken/scumandvillainy/scurrgh6bomber/captainnym__pilot-40a82a73b01f.png",27,38,281,317,
generated,"pilot-sheet-167","PILOT-8A9E83FBEE45","shadowporthunter","Shadowport Hunter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__3bbda7c129bcb4e0.png","assets/generated/PilotBaseToken/scumandvillainy/lancerclasspursuitcraft/shadowporthunter__pilot-8a9e83fbee45.png",75,42,597,678,
generated,"pilot-sheet-168","PILOT-CE8814AF4A55","lieutenantdormitz","Lieutenant Dormitz","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__44c6141bf7b66f45.png","assets/generated/PilotBaseToken/firstorder/upsilonclassshuttle/lieutenantdormitz__pilot-ce8814af4a55.png",18,18,974,1005,
generated,"pilot-sheet-169","PILOT-CD598BB7C3BD","sabinewren","Sabine Wren","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__6399115905c4dff2.png","assets/generated/PilotBaseToken/scumandvillainy/lancerclasspursuitcraft/sabinewren__pilot-cd598bb7c3bd.png",75,42,597,678,
generated,"pilot-sheet-170","PILOT-5C3E62A09DB1","constablezuvio","Constable Zuvio","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__7397588122ee10dc.png","assets/generated/PilotBaseToken/scumandvillainy/quadjumper/constablezuvio__pilot-5c3e62a09db1.png",24,31,211,243,
generated,"pilot-sheet-171","PILOT-A3C94DEA1FDD","jakkugunrunner","Jakku Gunrunner","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__99ca394b4a5a3ac4.png","assets/generated/PilotBaseToken/scumandvillainy/quadjumper/jakkugunrunner__pilot-a3c94dea1fdd.png",24,31,211,243,
generated,"pilot-sheet-172","PILOT-C52E6EAB9ED5","zealousrecruit","Zealous Recruit","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__a8f5fe0246709993.png","assets/generated/PilotBaseToken/scumandvillainy/protectoratestarfighter/zealousrecruit__pilot-c52e6eab9ed5.png",30,31,212,244,
generated,"pilot-sheet-173","PILOT-0CCB6DEA3E06","lieutenantkestal","Lieutenant Kestal","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__b31888e41b3fa302.png","assets/generated/PilotBaseToken/galacticempire/tieaggressor/lieutenantkestal__pilot-0ccb6dea3e06.png",14,15,252,286,
generated,"pilot-sheet-174","PILOT-6A68ADF29BDA","zeborrelios","""Zeb"" Orrelios","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__b80f8b192eeb9801.png","assets/generated/PilotBaseToken/rebelalliance/tiefighter/zeborrelios__pilot-6a68adf29bda.png",32,42,456,510,
generated,"pilot-sheet-175","PILOT-212219B823A7","talonbanecobra","Talonbane Cobra","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__fd3611066d36b27d.png","assets/generated/PilotBaseToken/scumandvillainy/kihraxzfighter/talonbanecobra__pilot-212219b823a7.png",20,31,455,512,
