status,pilotId,targetId,displayName,faction,ship,sourceRepositoryPath,outputRepositoryPath,x,y,width,height,message
recovered,"galacticempire::tieinterceptor::felswrath","felswrath","""Fel's Wrath""","Galactic Empire","TIE Interceptor","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9f06797022fcb402.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-interceptor/felswrath__pilot-3cbe4e95e295.png",27,36,446,527,
recovered,"galacticempire::tieinterceptor::avengersquadronpilot","avengersquadronpilot","Avenger Squadron Pilot","Galactic Empire","TIE Interceptor","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f454cac20d00d95b.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-interceptor/avengersquadronpilot__pilot-a62d21a2101d.png",27,36,446,527,
recovered,"galacticempire::tieinterceptor::carnorjax","carnorjax","Carnor Jax","Galactic Empire","TIE Interceptor","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b321da25d3acd679.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-interceptor/carnorjax__pilot-566a4beecb74.png",27,36,446,527,
recovered,"galacticempire::tieinterceptor::kirkanos","kirkanos","Kir Kanos","Galactic Empire","TIE Interceptor","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__127e54346516b174.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-interceptor/kirkanos__pilot-d869dca4c483.png",27,36,446,527,
recovered,"galacticempire::tieinterceptor::royalguardpilot","royalguardpilot","Royal Guard Pilot","Galactic Empire","TIE Interceptor","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d30014f2b25ae74c.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-interceptor/royalguardpilot__pilot-3187e5d8cd00.png",27,36,446,527,
recovered,"galacticempire::tieinterceptor::sabersquadronpilot","sabersquadronpilot","Saber Squadron Pilot","Galactic Empire","TIE Interceptor","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__701de1ba516fdb55.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-interceptor/sabersquadronpilot__pilot-2141928f7263.png",27,36,446,527,
recovered,"galacticempire::tiedefender::maarekstele","maarekstele","Maarek Stele","Galactic Empire","TIE Defender","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__c28fec284ebafc32.png","assets/generated/PilotBaseToken/galactic-empire/tie-defender/maarekstele__pilot-bf753aa35aef.png",26,35,447,527,
recovered,"galacticempire::tiedefender::glaivesquadronpilot","glaivesquadronpilot","Glaive Squadron Pilot","Galactic Empire","TIE Defender","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d0459c0d8ead6300.png","assets/generated/PilotBaseToken/galactic-empire/tie-defender/glaivesquadronpilot__pilot-b20f99e8b056.png",26,35,447,527,
recovered,"galacticempire::tiedefender::onyxsquadronpilot","onyxsquadronpilot","Onyx Squadron Pilot","Galactic Empire","TIE Defender","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8248eb7e5a4a577f.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-defender/onyxsquadronpilot__pilot-b34f5c2ddf3e.png",26,35,447,527,
recovered,"galacticempire::tieadvanced::commanderalozen","commanderalozen","Commander Alozen","Galactic Empire","TIE Advanced","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__cc3a3714fa17d415.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-advanced/commanderalozen__pilot-334fb2377134.png",1024,35,445,526,
recovered,"galacticempire::tieadvanced::stormsquadronpilot","stormsquadronpilot","Storm Squadron Pilot","Galactic Empire","TIE Advanced","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__cc3a3714fa17d415.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-advanced/stormsquadronpilot__pilot-135a0eb16ce4.png",26,35,446,526,
recovered,"galacticempire::tieadvanced::lieutenantcolzet","lieutenantcolzet","Lieutenant Colzet","Galactic Empire","TIE Advanced","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__23c080028e6cda7e.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-advanced/lieutenantcolzet__pilot-0caeec7560f8.png",1024,35,445,526,
recovered,"galacticempire::tieadvprototype::valenrudor","valenrudor","Valen Rudor","Galactic Empire","TIE Adv. Prototype","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d58cc2498da0327d.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-adv.-prototype/valenrudor__pilot-074deab3b7c3.png",26,35,446,527,
recovered,"galacticempire::tieadvprototype::theinquisitor","theinquisitor","The Inquisitor","Galactic Empire","TIE Adv. Prototype","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b2db80928821a07c.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-adv.-prototype/theinquisitor__pilot-54b4081dbab0.png",26,35,446,527,
recovered,"galacticempire::tieadvprototype::sienartestpilot","sienartestpilot","Sienar Test Pilot","Galactic Empire","TIE Adv. Prototype","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a23274df5de27095.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-adv.-prototype/sienartestpilot__pilot-70260e3c6ef9.png",26,35,446,527,
generation-required,"firstorder::upsilonclassshuttle::majorstridan",,,,,,,,,,,
generation-required,"galacticempire::tiereaper::captainferoph",,,,,,,,,,,
generation-required,"rebelalliance::auzituckgunship::lowhhrick",,,,,,,,,,,
generation-required,"rebelalliance::auzituckgunship::wullffwarro",,,,,,,,,,,
generation-required,"rebelalliance::awing::prototypepilot",,,,,,,,,,,
generation-required,"resistance::yt1300::chewbaccaswx57",,,,,,,,,,,
generation-required,"resistance::yt1300::hansoloswx57",,,,,,,,,,,
generation-required,"scumandvillainy::m3ainterceptor::genesisred",,,,,,,,,,,
